head,relation,tail,noise
we've go to use undercover operations,support,there can be no concessions under any circumstances,0
he was wrong,support,he didn’t think we should close it down,0
"in his short career, he does not understand our national security challenges",is a,claim,0
"if we make the use of a gun in the commission. of a crime a serious criminal offense, and that person is prosecuted",is a,claim,0
african-american incomes went up 33 percent,said in,09-10-2016,0
he is the number one - he is the number one receiver of political action committee money,said in,05-10-1988,0
i'm a great believer in all forms of energy,is a,premise,0
one is military assistance to our friends who are being pressured,is a,claim,0
"i fully agree that one should shift tactics, and we will, in iraq",is a,claim,0
the nixons told this story,is a,claim,0
i'll get osama bin laden,said in,07-10-2008,0
if we find success we'll praise it,said in,17-10-2000,0
the problem with a spending freeze is you're using a hatchet where you need a scalpel,support,doesn't make sense,0
all those changes in our tax code would make a difference,is a,claim,0
"the department of uh - uh - hud is enforcing the new legislation that uhh - outlaws, that takes care of redlining",is a,claim,0
"an across-the-board spending freeze is a hatchet, and we do need a scalpel",said in,15-10-2008,0
the ford administration does have a very comprehensive program to help uh - our major metropolitan areas,is a,premise,0
how's it going to affect my retirement savings or my ability to send my children to college,support,how's it going to affect me,0
it was one of the largest declines in our history,support,this economy is growing,0
we could have an urban homestead act,said in,21-09-1980,0
"i mean investing in education, health care, the environment, and middle-class tax cuts and retirement security",is a,claim,0
i just want to make sure the return is good,support,i'll look at every place where we're investing money,0
it is true over 10 years ago i voted to delay production of the f - 14,support,he was against the f - 14 fighter,0
"in my opinion, it is beneath bob dole to go after anyone personally",said in,09-10-1996,0
it's important to america,support,i'm going to get it right for those soldiers,0
i had a record of working with republicans and democrats as the governor of texas,is a,premise,0
george bush has concentrated on every other country in the world,said in,13-10-1992,0
i also think we ought to continue to have good adoption law as an alternative to abortion,is a,claim,0
we want to end those conflicts to the extent humanly possible,said in,22-10-2012,0
i visited afghanistan,said in,26-09-2008,0
"so we have to do two things, as i said",is a,claim,0
"he promised to pass a plan that would put 100,000 new police officers on the streets",said in,09-10-1996,0
he has to raise taxes,said in,26-09-1960,0
the reason we have been in such a enormous economic crisis was prompted by reckless behavior across the board,support,it wasn't just on wall street,0
i don't agree with that,attack,"to suggest if somebody represents a foreign country on anything, that makes him corrupt or against the taxpayer",0
that's what this is all about,said in,11-10-2012,0
"you didn't hear any plan from the president, because he doesn't have a plan to lower the cost of health care",is a,claim,0
i said that i would work for tax relief for middle class americans,support,i think they're better off,0
"we have to have all of the above, alternative fuels, wind, tide, solar, natural gas, clean coal technology",is a,premise,0
we're setting aside $300 billion in a reserve fund in case the projections the nonpartisan experts make aren't quite right,is a,claim,0
he supported the president,support,"when there was a crisis involving the mexican peso, again, president bill clinton showed bold and dynamic leadership",0
i believe that the policies that i recommend came under the general heading of strengthening the united states,is a,claim,0
we must deal with threats before they fully materialize,is a,claim,0
"i knew we'd have somebody out there yelling ""read my lips"", and i did it",said in,19-10-1992,0
"we have a plan to create jobs, getting rid of tax cuts for companies outsourcing your jobs",said in,05-10-2004,0
"one of them that particularly bothers me, sponsoring legislation to put a tax on combat pay and disability pay for veterans, for fighting men and women of america",support,senator quayle has one of the worst voting records in the united states senate on veterans issues,0
we haven't done that yet,is a,claim,0
there are other things that we can do with the inner cities,said in,21-09-1980,0
if we learned anything in vietnam is you first commit this nation before you commit the troops to the battlefield,support,we cannot send our people all over the world to solve every problem that comes up,0
didn't close off the borders,said in,08-10-2004,0
"george w. bush made the agreement about when american troops would leave iraq, not barack obama",attack,"president obama and secretary clinton created a vacuum the way they got out of iraq, because they got out—what, they shouldn't have been in, but once they got in, the way they got out was a disaster",0
i ran because of barack obama,said in,22-10-2020,0
it takes values that recognize the importance of the environment,attack,regulations that take property or reduce the value of some farmer or rancher or homeowner's property for wetlands or endangered species and take that property or reduce its value without compensating the owner,0
our opponents have an idea for privatizing social security that will jeopardize social security payments to recipients,is a,claim,0
get them to work with us and turn against the cruel taliban and others,is a,claim,0
the world is far safer today,is a,premise,0
many economists are predicting that we're moving into a period of very slow growth,is a,claim,0
there's no incentive for a hypochondriac not to go to the -- to medicare every day,support,"the incentives that are in our current way of doing business, are what are killing us",0
we need to do the reforms and the term limits,said in,15-10-1992,0
a president must manage that budget,said in,21-10-1984,0
"i do believe that some crimes are so heinous, so brutal, so outrageous, and i'd say particularly those that result in the death of a police officer",said in,13-10-1988,0
his running mate jack kemp once said that bob dole never met a tax he didn't hike,is a,premise,0
having the opportunity to go to a great public school system,support,i think what i would bring to the office of the vice presidency is a lifetime  's experience,0
it permits us to make sure that the projects which are invested in are going to produce greater wealth,support,"i believe instead of doing that, we should concentrate our aid in long-term loans which these people can pay back either in hard money or in local currency",0
the president just didn't level with you right now again,attack,"now, the president said, ""i'm not blocking that.""",0
i've done a lot of things that were controversial,said in,06-10-1996,0
"over time, that, i think, is going to be a better recipe for economic growth than the -- the policies of president bush that john mccain wants to -- wants to follow",is a,claim,0
"hillary clinton is raising your taxes, folks",is a,claim,0
"when senator dole made that remark about all the elitists, all the young elitists in the administration, one of the young men who works for me who grew up in a house trailer looked at me and said, mr. president, i know how you grew up, who is he talking about",said in,06-10-1996,0
"just to give you an example, we spend $15 billion a year on subsidies to insurance companies",said in,15-10-2008,0
"when we do things like that -- when we bring those who have harmed us to justice, that sends a message to the world and it tells peyton (ph) that we did not forget her father",is a,premise,0
we're in an information age when learning is more important than ever,is a,claim,0
in our time at the frontier of that effort is extending those kinds of rights to gay and lesbian americans who are citizens of this country and children of the same awesome god just as much as any of the rest of us are,is a,premise,0
"if people would say, well, he got elected to do this and then the congress says, okay, i'm going to do it",is a,premise,0
our opponents are going to spend $1.6 trillion of the $1.8 trillion surplus projected on that big tax cut that al gore talked about the other night so effectively,said in,05-10-2000,0
that's not a grand coalition,support,we can do better,0
i don't want to respond in kind to all these things,said in,16-10-1996,0
"he has taken the position, when he first indicated in october of last year, that he would even favor compulsory arbitration as one of the weapons the president might have to stop a national emergency strike",is a,claim,0
"to take a chance uh - now be - and not make every effort that we could make to provide for some control over these weapons, i think would be a great mistake",said in,13-10-1960,0
"first let me say with respect to the freeze, that back in the spring of 1982",said in,25-09-1988,0
we turned it over to the afghan troops we trained,support,"we took 22,000 people out",0
so were housing advocates,is a,premise,0
if you want to get america energy secure,is a,claim,0
"now are getting another chance, training them for the jobs that exist right now",said in,16-10-2012,0
"opportunity for greater participation on the part of women in public life, and in economic life in the middle east",said in,22-10-2012,0
when you start rationing health care there's going to be a waiting line to see a doctor unless it's an emergency,is a,claim,0
we can come to grips with the penalty side,said in,25-09-1988,0
"instead of retreating -- instead of being strong where we should be strong, he wants to make it strong and intervene in the most private and personal questions in american life",said in,07-10-1984,0
that's 16 million jobs in america,support,fifty percent of small business income taxes are paid by small businesses,0
"health policies, energy policies, and entitlement reform",is a,claim,0
i think we should be no - under no illusions whatever about what the responsibilities of the american people will be in the sixties,attack,i'm confident that this country can meet its responsibilities,0
we're going to see unemployment going down,said in,22-10-1976,0
i can guarantee it will not come if gerald ford is reelected and this present policy is continued,is a,premise,0
i have no loans with russia,support,i have no loans from russia,0
sanctions were not working,said in,08-10-2004,0
it's not senator obama's proposal,said in,07-10-2008,0
i don't look on it personally as relevant,is a,claim,0
"to be able to say to the saddam husseinâ€™s of the world or the iranians, don't dare threaten our friends",is a,claim,0
i said then and i believe today that freedom does mean freedom for everybody,said in,05-10-2004,0
it's time for our nation to come together and do what's right for the people,support,i think this is right for the people,0
if we make imprudent cuts,support,we risk the peace,0
i believe we ought to make the system work better,said in,03-10-2000,0
we have to have nuclear power,said in,15-10-2008,0
i know our allies,said in,26-09-2008,0
we knew we had to act for the middle class,support,we went ahead and made sure that we cut taxes for the middle class,0
the soviet union simply doesn't intend to carry out what they say,is a,claim,0
"i won't, i never repeat what i've talked to the president about",is a,premise,0
i have voted for the major pieces of environmental legislation that have come down and been voted on in the united states senate,support,i have a very strong record on the environment in the united states senate,0
he's trying to scare people in the voting booth,is a,premise,0
he went in,is a,claim,0
our allies are on that same page,attack,"and if we don't go the extra mile on diplomacy, what makes you think the allies are going to sit with us",0
"when you are proud and confident of your strength, you do not get down to the level of mr. khrushchev and his colleagues",said in,21-10-1960,0
"we have a country that needs new roads, new tunnels, new bridges, new airports, new schools, new hospitals",support,our country has tremendous problems,0
"there is an issue with the uninsured, there sure is",attack,we're providing health care for our people,0
with regard to how fast the number of workers would increase and how fast the number of retirees would increase,is a,claim,0
that's the same percentage that it was twenty years ago,said in,26-09-1960,0
we have a plan,said in,05-10-2004,0
to put a blockade around cuba this year,support,"his long-standing inclination, on the use of american power, not to resolve disputes diplomatically and peacefully, but to show that the exercise of military power is best proven by the actual use of it",0
"she should have found about it earlier, whereas she had no way of finding out about it",is a,claim,0
the president's policies throughout the middle east began with an apology tour and -- and -- and pursue a strategy of leading from behind,support,this calls into question the president's whole policy in the middle east,0
why take it in the first place if you're going to give it back?,support,we ought to take. put that tax on here at home,0
it would be about buying american,said in,29-09-2020,0
"i'm convinced that the result of this would be that people who are hispanic, people who have different languages or speak with an accent, would find it difficult to be employed",said in,21-10-1984,0
what we don't support -- and listen to what they're proposing -- to take us taxpayer dollars and subsidize private schools,is a,claim,0
it was swept aside,is a,claim,0
totally discredited,is a,claim,0
"our goal should be, in 10 year's time, we are free of dependence on middle eastern oil",support,i've called for an investment of $15 billion a year over 10 years,0
our alliances have never been stronger,is a,premise,0
"i see our trade deficit with china, larger than it's -- growing larger every year, as a matter of fact",said in,22-10-2012,0
i will strictly adhere to the law,attack,this is an issue they've brought up,0
we were also able to make a -- make a significant dent in providing them the kind of preventive care that will ultimately save money through the -- throughout the system,said in,03-10-2012,0
senator obama has spent more money on negative ads than any political campaign in history,said in,15-10-2008,0
i signed the partial-birth -- the ban on partial-birth abortion,said in,08-10-2004,0
you've got to have money to pay for these things,is a,claim,0
governor romney said this has to be done on a bipartisan basis,support,this was a bipartisan idea,0
this was an attack by terrorists,is a,claim,0
i believe that all of us are going to have to begin to work together to solve our problems,is a,claim,0
"take, for example, third world debt",support,"yes, it does",0
i would pass a hate crimes law,said in,11-10-2000,0
you are going to approve one of the biggest tax increases in history,said in,26-09-2016,0
i grew up in a family where my father was gone most of the time,said in,07-10-2008,0
he reached across the aisle,said in,11-10-2012,0
"after my trip to south america, i made recommendations that a separate inter-american lending agency be set up which the south american nations would like much better than a lend- than to participate in the lending agencies which treated all the countries of the world the same",support,"first, after each of my foreign trips i have made recommendations that have been adopted",0
my daddy was a truck driver who bought the truck and started a company. we need more truck drivers becoming truck owners and they can't do it if they don't have access to the capital and the seed corn for the next generation of truck and jobs for america,attack,"they want to cut the capital gain tax, but only for home owners",0
i think of all the people i grew up with and went to school with and who i stay in touch with and who nerve let me forget how what we do in washington affects all of you out there in america,said in,06-10-1996,0
is this president going to take some action,is a,premise,0
you can't discriminate in the rights that you afford people,said in,13-10-2004,0
you're going to have a whole brand new bunch of people in the congress that are going to have to listen to the same american people i'm listening to,said in,11-10-1992,0
how is raising taxes going to help the consumer in america?,is a,premise,0
we saw vice president bush fly back from the west coast to break a tie in the united states senate,is a,claim,0
it’s called prepaying your taxes,said in,22-10-2020,0
we can use this money that we save on these weapons to spend on things that we really need,support,this makes us stronger,0
it's not only seniors,said in,17-10-2000,0
"afterwards, congressman lewis put out a similar statement, saying that he had probably gone over the line",support,we immediately put out a statement saying that we don't think that comparison is appropriate,0
"he endorses the democratic uh - platform which, as i read it, calls for approximately sixty additional programs",support,"i cannot, and would not, endorse the kind of program that uh - governor carter recommends",0
there's not only what is on your paper resume that makes you qualified to run for or to hold office,is a,claim,0
if you have a state that fully supports the law like we do in texas,is a,claim,0
"in the last four years, 1.6 million private sector jobs have been lost, 2.7 million manufacturing jobs have been lost",is a,claim,0
"that's why we've got a country with ten and a half million more jobs, and record numbers of new businesses, and rising incomes, and falling crime rates, and welfare roll rates",is a,claim,0
it's also a tremendous indication that under the ford administration we have not addressed the energy policy adequately,is a,premise,0
run our government,support,he's called that,0
we've seen what has happened,said in,21-09-1980,0
"we did, actually, send troops into rwanda to help with the humanitarian relief measures",is a,claim,0
it compels nobody to have insurance who does not want it,is a,premise,0
"we, i think, are the only developed nation in the world that has no comprehensive energy policy, to permit us to plan in an orderly way how to shift from increasing the scarce uh - energy uh - forms: oil, and have research and development concentrated on the increased use of coal, which i strongly favor",said in,22-10-1976,0
it would create an additional $1 trillion in economic growth,is a,claim,0
"if he insists that uh - that i be responsible for the democratic congress, of which i'm - have not been a part",said in,23-09-1976,0
they are elderly people who in fact are living off of social security,support,"my friend recently in a speech in washington said ""30 percent of the american people are takers.""",0
that is not good enough for this country,said in,09-10-1996,0
colin powell helped set up that summit,is a,premise,0
mr. nixon talks about our being the strongest country in the world,said in,21-10-1960,0
"my wife tipper, who is here, actually went on a military plane with general sholicatchvieli on one of those flights",is a,premise,0
i cannot impose my religious views on someone else,is a,claim,0
they have been short-changed,is a,claim,0
"it's only $18 billion."" do you know that it's tripled in the last five years",said in,26-09-2008,0
we're not going to make those kinds of mistakes,is a,claim,0
"i raise the child-care credit by $1,000 for families",support,i have a tax cut,0
so that we're actually able to take on terrorism,support,we should be helping them build schools to compete for those hearts and minds of the people in the region,0
i respect the presidency,said in,07-10-1984,0
"we're going to sit down, without precondition, across the table, to legitimize and give a propaganda platform to a person that is espousing the extermination of the state of israel",support,without precondition,0
what i really think is going to happen over time is technology is going to change the way we live for the good for the environment,is a,claim,0
the president who talks about no child left behind refused to fully fund -- by $28 billion,is a,claim,0
i think our success over the last eight years has not been in spite of diversity but because of it,said in,17-10-2000,0
"i believe we can, for all intents and purposes, eliminate our dependence on middle eastern oil and venezuelan oil",said in,15-10-2008,0
people's rights have been abused,is a,claim,0
i think that's wrong,is a,premise,0
"that's what my friend from indiana has opposed repeatedly, vote after vote",said in,05-10-1988,0
i think that would be a big red flag waving for isis to reconstitute itself,is a,claim,0
"why can’t they do something secretively, where they go in and they knock out the leadership",said in,09-10-2016,0
we find that more have been built in this administration than in the previous administration,said in,26-09-1960,0
since they've done nothing,said in,11-10-1984,0
"if won't be, general waller would be",is a,claim,0
an african american was my chief economic development officer,said in,19-10-1992,0
he was the last communist party boss there,is a,premise,0
john mccain was lock- step with dick cheney at that point how this was going to be easy,is a,claim,0
we'll stay on the hunt on al qaida,support,there is more work to be done,0
we've been there also so that connection was important,support,but even more important is that worldview that i share with john mccain,0
we are helping,is a,premise,0
"yes, we should support them",said in,11-10-1984,0
we can do better,is a,premise,0
i find that incredible,is a,premise,0
i didn't even sign my tax return,said in,11-10-1984,0
we need to shoot straight with young and old alike and tell them what the real choices are,is a,claim,0
three-quarters of them said it makes us less likely to hire people,is a,premise,0
i was in new hampshire,said in,03-10-2012,0
"john mccain said as recently as a couple of weeks ago he wouldn't even sit down with the government of spain, a nato ally that has troops in afghanistan with us now",said in,02-10-2008,0
i won't be talking about it to the press or i won't be knifing him in the back by leaking to make me look good and complicate the problems of the president of the united states,is a,claim,0
if we invest now in our young people and their ability to go to college,said in,15-10-2008,0
it cuts $716 billion from medicare to pay for it,is a,claim,0
i hope that they put the troops on the ground,is a,premise,0
i'm trying to do away with those the last ten days,said in,22-10-1976,0
we're going to release it again to the media,said in,13-10-1992,0
i got into the texas war on drugs program and the big-time drug dealers got all upset,support,"again and again, on complex, difficult tasks, i have stayed the course",0
"i don't know what the latest cost estimates are, but it's going to be in the range of 25, 50, 75, $100 billion",support,this is another example of misplaced priorities,0
it's about my vision for america and about his liberal vision for america,is a,claim,0
all you've got going in this campaign is fear,is a,claim,0
"one of the great giveaways of all time, of all time, including $400 million in cash",support,another one powerful is the worst deal i think i've ever seen negotiated that you started is the iran deal,0
since the reserve was opened the price of oil on world markets has dropped $6 a barrel,said in,05-10-2000,0
i don’t know who said that,is a,claim,0
"if the tax cut is your number one, two, three and four priority",said in,11-10-2000,0
i see a man who is young,is a,premise,0
"values begin at the top, in the white house",is a,claim,0
she's cut the size of government,is a,claim,0
i have a history of getting things done in the united states senate,is a,premise,0
american airplanes are helping today on humanitarian relief for sarajevo,is a,claim,0
result: $139 billion windfall profit to the drug companies coming out of your pockets,said in,13-10-2004,0
"so, government, lessen the tax burden and on our families",said in,02-10-2008,0
not raise taxes on the american people now,is a,claim,0
some of the hardest moments since i've been the governor of the state of texas is to deal with those cases,is a,premise,0
it empowers people,is a,claim,0
if we're talking about a family who's got an autistic kid and is depending on that medicaid,is a,claim,0
"like franklin roosevelt, i don't care whether an idea is a republican idea or a democrat idea",is a,claim,0
that shows that there's been more growth in this administration than in its predecessor,is a,claim,0
i do not think that they are,is a,premise,0
you can't carry a gun into a school,support,everybody believes that,0
i will pursue that policy,said in,25-09-1988,0
"saying, they've probably been doing the right thing",is a,premise,0
i have a long record of reform and fighting through on the floor of the united states senate,said in,15-10-2008,0
he first didn't even want to do that,support,"he made the misjudgment of saying to america that he was going to build a true alliance, that he would exhaust the remedies of the united nations and go through the inspections",0
a sure sign of inflation in the housing industry,is a,premise,0
"i do believe, however, that we can give to the president of the united states powers, in addition to what he presently has in the fact finding area",support,would enable him to be more effective than we have been in handling these strikes,0
"the decision they made was on the drug, not the question of whether or not it would support abortion",is a,claim,0
i think that is something we have to take seriously,is a,claim,0
"it wasn't me that let the polluters actually come into the halls of congress, into the rooms, and rewrite the environmental laws",is a,claim,0
the way that ross perot is talking about,is a,claim,0
e will have solved many of the internal domestic problems that exist in south korea at the present time,support,this is a leadership role that the united states under this administration is carrying out,0
"he believes, like i believe, that the iraqis are ready to fight for their own freedom",said in,30-09-2004,0
they want tax breaks for the top 2 percent,said in,16-10-2012,0
"whether you're worried about safe playgrounds, drug-free schools, crime-free schools",is a,claim,0
it was not tough enough on the criminal,support,i was not for the bill that he was talking about,0
his policies haven't worked,is a,premise,0
that was facilitated in part because we had ended the war in iraq,said in,22-10-2012,0
it's been blocked in the senate,said in,05-10-2004,0
"in a discussion of our strategic arms negotiations, i said that submarines carrying missiles and airplanes carrying missiles were more conventional-type weapons, not as destabilizing as the land-based missiles",said in,21-10-1984,0
"i, first of all, oppose an election year tax cut",is a,premise,0
mr. nixon misstates my figures constantly,is a,premise,0
there's no control over what you do with that money,is a,claim,0
we learned from their mistakes,support,"that is why senator wh- president eisenhower was also correct in his policy in the formosa straits, where he declined, and refused to follow the recommendations",0
"all of a sudden they wake up and realize that wait a minute, standards aren't being met",said in,17-10-2000,0
they also have the haqqani network and the taliban existent within their country,is a,claim,0
i have relatives on medicare,said in,06-10-1996,0
you made the comment that the gulf war coalition in '91 was far stronger than this,said in,05-10-2004,0
we're the second biggest state -- farming state in the country,is a,premise,0
we're proposing to also require foreign corporations to pay the same taxes that american corporations do when they do business here in the us of america,is a,premise,0
your son said we have to give 10% to the big man,support,it’s terrible,0
sitting on that senate armed services committee for eight years has given me the experience to deal with the soviet union and how we can move forward,is a,claim,0
i will look for those judges who have an outstanding judicial record,is a,claim,0
i agree with everything she said,is a,claim,0
it provided opportunities for both that both wanted,support,"it had, at the signing of the bill, both the pro-gun and the anti-gun people came togethe",0
you act in order to make this country secure,is a,claim,0
"there would be incentive, instead of as now - the steel companies were ready to take the strike",said in,13-10-1960,0
"and he said, ""you'd better get on the stick here. you'd better look at it.""",is a,premise,0
i think we need to continue to be uh - strong and uh - i would certainly uh - pursue the uh - normalization of uh - relationships with the people's republic of china,is a,premise,0
"i have a $4,000 tuition tax credit that goes to parents -- and kids, if they're earning for themselves -- to be able to pay for college",support,i have a tax cut,0
i don't make new promises in an election year,is a,claim,0
that will not help us compete with china,is a,claim,0
we want to insist on high standards,said in,05-10-2000,0
was this really going to war as a last resort?,said in,08-10-2004,0
"that's a factor, of course",is a,claim,0
i've got a different vision for america,is a,premise,0
regulations have quadrupled,is a,claim,0
it's nothing short of amazing,support,"when i think about afghanistan, i think about the incredible job that our troops have done",0
they want to be free,said in,21-10-1960,0
given the circumstances with the company in england is for those of us who are younger and healthy,said in,13-10-2004,0
so there's less rotation,support,we're withdrawing manpower so they can be stationed here in america,0
allow business associations like the national federal of independent business or the chamber of commerce or the national restaurant association to write association plans across jurisdictional lines,is a,claim,0
we saved it,is a,claim,0
"he disbanded the club, but he's still got the money",support,he is the number one - he is the number one receiver of political action committee money,0
we'll also make sure that we have trade relations with china that work for us,said in,22-10-2012,0
we took our eye off afghanistan,is a,claim,0
bill clinton has trouble telling the truth,is a,premise,0
it is wrong,said in,25-09-1988,0
we don't need as much manpower on the korean peninsula to keep a deterrent,is a,premise,0
"throughout my career in public service, i have fought for the working men and women of this country, middle-class families",is a,premise,0
"when my friend talks about fissile material, they have to take this highly enriched uranium, get it from 20 percent up, then they have to be able to have something to put it in",support,they are a good way away,0
that's $1 -- that's $1 for every $15 you've cut,said in,03-10-2012,0
"if these aren't special interests, i've got a lot to learn",is a,premise,0
we need the missile,is a,premise,0
it hasn't worked,said in,07-10-2008,0
it wouldn't get to the age of 70 until the year 2103 according to the actuaries,is a,premise,0
who is the chairman of the senate foreign relations committee,said in,26-09-2008,0
"have i made a difference in the united states senate where i've served for eight years? yes, i have",is a,claim,0
"as they learned more facts about exactly what happened, they changed their assessment",is a,premise,0
national security and human rights must go together,is a,claim,0
"no, the argument is that we have to take the guns away from these people that have them and that are bad people that shouldn't have them",is a,premise,0
"at one time, and most of the time in the house of representatives, you had a pro-life position",is a,claim,0
we've got to deal with a growing poppy trade that has exploded over the last several years,said in,26-09-2008,0
"ironically, if you repeal obamacare, and i have become fond of this term, ""obamacare,"" if you repeal it",attack,those seniors right away are going to be paying $600 more in prescription care,0
what kind of mixed message does it send when you have $500 million going over to iraq to put police officers in the streets of iraq,said in,30-09-2004,0
it's a school of strong discipline and high standards,support,it's one of the best schools in houston,0
you can see it in this campaign,is a,premise,0
i reject this notion,is a,claim,0
more than just $120 billion for iraq and afghanistan,support,i'm going to spend what it takes to win the war,0
hamas won,is a,premise,0
"we have also provided in our program for a $4 billion community trust fund, and we've told you where the money is coming from",is a,claim,0
we have never said flatly that we will defend quemoy and matsu if it's attacked,said in,07-10-1960,0
help with tuition if you want to get a new skill or training,said in,17-10-2000,0
we have been able to significantly cut defense spending,is a,premise,0
there's a whole bunch of other things that i can't click off in this short period of time,said in,11-10-1992,0
he says on the one hand i am for it and on the other hand i may be against it,equivalent,"on the one hand, it's a good deal but on the other hand i'd make it better",0
she doesn't have that,is a,claim,0
i had a question and the question was how much did you cut them by,support,how much did you cut them by,0
"we can be better if we face our future, rejoice in our strengths, face our problems, and by solving them, build a better society for our children",said in,07-10-1984,0
i grew up learning how to respect those views,support,i completely respect their views,0
i share the view that we ought to have equal pay for equal work regardless of someone's gender,said in,05-10-2000,0
there is a huge difference in this campaign,said in,03-10-2000,0
we've mobilized sanctions against that government,said in,22-10-2012,0
"he went to cincinnati and he gave a speech in which he said, ""we will plan carefully",said in,30-09-2004,0
he would have been alive today,is a,claim,0
"the president and his friends took it out in the house, and now you don't have that right",is a,claim,0
senator kennedy left out a part of the cost of that program - a twenty-five percent rise in food prices that the people would have to pay,said in,13-10-1960,0
we find that the soviet union is a very primitive economy,is a,claim,0
and $500 billion over the next five,support,"when we talk a tax cut, we're only talking about reducing a tax increase, because this administration has left us with a built-in tax increase that will amount to $86 billion next year",0
the focus will change with barack obama,is a,claim,0
we knew the limits on their nuclear power,said in,30-09-2004,0
"john edwards, two and a half years ago, six months after we went into afghanistan announced that it was chaotic, the situation was deteriorating, the warlords were about to take over. here we are, two and a half years later, we're four days away from a democratic election, the first one in history in afghanistan",is a,claim,0
i take full responsibility for what happened in somalia,is a,claim,0
policies like these have been working,is a,premise,0
i remember what the administration tried to do in 1993,is a,premise,0
now the federal government has become the world's greatest slum landlord,is a,premise,0
they would not have materialized for about nine to eighteen months,is a,premise,0
i would do nothing to hurt the u.s. auto industry,said in,22-10-2012,0
i believe the role of the military is to fight and win war and therefore prevent war from happening in the first place,said in,03-10-2000,0
"we're going to have to get some love in this country between races, and between rich and poor",is a,claim,0
"with me, abortion is not a problem of religion",is a,claim,0
i just don't think that dog will hunt this time,said in,06-10-1996,0
that's the problem,said in,11-10-1984,0
it's killing regional and small banks,is a,premise,0
look at all these women senate candidates we have here,support,more and more women are being elected,0
it would be catastrophic if the chairman of the federal reserve board became the tool of the political uh - party that was in power,is a,premise,0
of course mr. nixon is wholly inaccurate when he says that the congress has not provided more funds in fact than the president recommended for national defense,is a,claim,0
"after five years, he finally sent a high-ranking diplomat to meet with the highest-ranking diplomats in iran, in europe, to try to work out an arrangement",is a,claim,0
"over the last 30 months, we've seen 5 million jobs in the private sector created",said in,03-10-2012,0
she talks in favor of the rebels,is a,premise,0
"we're going to say to our seniors, our promises we've made to you will be promises kept",support,i want to do something about social security,0
a good example of that is the environmental protection laws that we were talking about a moment ago,is a,premise,0
he laid out his plan for success in iraq,said in,05-10-2004,0
"we've got international competitors who simply could not unload their cars off the ships if they had to comply -- you see, if it was a 2-way street, just couldn't do it",support,they'll gridlock right at that point,0
he said osama bin laden uses the invasion of iraq as an excuse to spread hatred for america,said in,30-09-2004,0
they don't believe in free elections,support,they don't believe in all of the values that we believe in,0
"on the $87 billion, it was clear at the time of that vote that they had no plan to win the peace",is a,claim,0
"we stopped overpaying insurance companies, doctors and hospitals",said in,11-10-2012,0
i don't think our troops ought to be used for what's called nation-building,support,i wouldn't have supported either,0
"that if there's violence on the streets, that working with faith groups and law enforcement, we can catch it before it gets out of control",said in,16-10-2012,0
"i can assure you that this administration will follow that high moral principle in our future efforts in foreign policy, including our efforts in the middle east where it is vitally important",said in,06-10-1976,0
let's make sure that we're providing preventive care so we're catching the onset of something like diabetes,said in,03-10-2012,0
i made the recommendation to the president,said in,13-10-1992,0
more debt and less jobs,is a,claim,0
he said that he didn't even demonstrate -- he told the people in arkansas in 1978,is a,premise,0
"i think that what the people are concerned about is not the - uh pardon or the amnesty of uh - those who evaded the draft, but - but whether or not our crime system is - is fair",is a,premise,0
"by the president's own trustees of medicare, three members of which serve in his cabinet, it will be losing $23 billion a year by 1998",is a,claim,0
"the mayors that i've talked to in some of our leading cities tell! me that the federal grants that come with. for a specific cause or a specific objective, come with such red tape, such priorities established by a bureaucracy in washington, that the local government's hands are tied with regard to using that money as they feel could best be used, and for what they think might be the top priority",is a,premise,0
"yes, we're for the contras",said in,11-10-1984,0
"of course, this debate also takes place at a time when the tragedy of the uss cole is on our minds and hearts and insofar as the memorial service is tomorrow",is a,claim,0
"when they see us putting daylight between ourselves and our allies in israel, that gives them encouragement",said in,11-10-2012,0
if you vote one way you will have an expansion of family leave,said in,16-10-1996,0
to be able to build on that education by going to college so they can start their careers with a college diploma,is a,claim,0
"we have worked with the russians in a constructive way in kosovo, for example, to end the conflict there",support,i think the governor's instinct is not necessarily bad,0
"this is just to pay for the additional spending that he's talking about, $7 trillion - $8 trillion before we even get to the deficit we already have",said in,16-10-2012,0
not all of his health care initiative has been presented to the congress even now,support,he really didn't have a new economic program until over 1300 days into his presidency,0
"governor romney did a good thing, working with democrats in the state to set up what is essentially the identical model and as a consequence people are covered there",said in,03-10-2012,0
"in those cities today, we have 55% youth unemployment among black and hispanic youth",is a,claim,0
"there are a lot of young workers at our rallies we go to that when they hear i'll trust them at their option to be able to manage, under certain guidelines, some of their own money to get a better rate of return so that they'll have a retirement plan in the future, they begin to nod their heads and they want a different attitude in washington",support,"those on social security today will have their promise made, but also to give younger workers the option at their choice of being able to manage some of their own money in the private sector to make sure there's a social security system around tomorrow",0
they are not close to getting a nuclear weapon that's able to be deployed,support,"iran getting a nuclear weapon would be very, very destabilizing",0
"mean, we've cut defense spending too much in the first place",support,we ought to do is make those who wear the uniforms sacrifice,0
senator kennedy has got to be consistent here,said in,21-10-1960,0
give democracy back to the american people,support,all these other proposals are going to be a lot easier to get passed for the american people,0
so let me talk about my 30 years in public service,support,"eight million kids every year have health insurance, because when i was first lady i worked with democrats and republicans to create the children’s health insurance program",0
i look up and see the soviet flag on the moon,is a,premise,0
