relation	head	tail
__label__Support	That can't be in America anymore	our values are violently contradicted by the kind of racial profiling that I know exists
__label__Support	It's destroying our businesses, our small business and our big businesses	We have to repeal and replace Obamacare
__label__Support	Admiral Yarnell, the commander of the Asiatic fleet, has said that these islands are not worth the bones of a single American	The President of the United States has indicated they are not within the treaty area
__label__Support	She's been doing this for 30 years	He raised the 30 years of experience
__label__Attack	When he was campaigning in New Hampshire, he said I am for the pay-or-play health insurance	then, all of a sudden, this summer he says, oh, I'm not for a pay or play
__label__Support	You don't help yourself with other nations when you turn away from the global warming treaty, for instance, or when you refuse to deal at length with the United Nations	I think we have a lot of earning back to do
__label__Support	went with John McCain to Vietnam to find out what happened to our POWs	I think the most important thing I've learned from this process is what I now know about John Kerry
__label__Support	We've got to stop sending $700 billion a year to countries that don't want us very -- like us very much	I have a plan to fix this problem
__label__Support	it doesn’t work	The whole thing was a fraud
__label__Support	"when that occurred, what did Romney do? Romney said, ""No, let Detroit go bankrupt."""	for a guy who says 47 percent of the American people are unwilling to take responsibility for their own lives
__label__Equivalent	Government does not create jobs	Government does not create jobs
__label__Attack	He did block it	"Now, the president said, ""I'm not blocking that."""
__label__Support	taking if off to Iraq where the 9/11 Commission confirms there was no connection to 9/11 itself and Saddam Hussein	This president has made, I regret to say, a colossal error of judgment
__label__Support	He's deployed more troops than any president in history around the world	It's cost us billions and billions of dollars for peace-keeping operations
__label__Equivalent	We had a better idea	We had a better idea
__label__Support	There are certain army bases that the act calls for that can be used in certain cases to shelter people when it's rough	I think that we're on the right track
__label__Support	We have preserved the safety net for the people with true need in this country	Our policy was not to cut subsidies.
__label__Support	That's slower than it grew last year and last year was slower than the year before	The economy is barely limping along
__label__Support	if Kim Jong Il decides again to not honor an agreement, he's not only doing injustice to America	I think this will work
__label__Support	which is exactly what the refuge at its best in Alaska would produce	If we can get three miles more per gallon from our cars we'll get a -- we'll save 1 million barrels of oil a day
__label__Attack	I don't think this is a fair argument	jumping all over the president on his decision on one area of farm policy
__label__Support	over time, that, I think, is going to be a better recipe for economic growth than the -- the policies of President Bush that John McCain wants to -- wants to follow	What I've called for is a tax cut for 95 percent of working families, 95 percent
__label__Support	He shouldn't have made that decision	in a war, there's a lot of -- there's a lot of tactical decisions that historians will look back and say: He shouldn't have done that
__label__Support	the dictator Milosevic was hanging on	I invited the former prime minister of Russia to my house and took a risk in asking him to get personally involved, along with the head of Finland, to go to Belgrade and to take a set of proposals from the United States that would constitute basically a surrender by Serbia
__label__Support	I think if we had the right kind of campaign reform, we'd get the changes you want	I favor strict controls on how much you can spend running for Congress, strict limits on political action committees, requirements that people running for Congress appear in open public debates like we're doing now
__label__Support	I am very thankful that we do have a good plan and the surge and the counterinsurgency strategy in Iraq that has proven to work	I am thankful that that is part of the plan implemented under a great American hero, General Petraeus, and pushed hard by another great American, Senator John McCain
__label__Support	I make sure that we have a health care system that allows for everyone to have basic coverage	I think those are pretty important priorities
__label__Support	And we're going to forge ahead with putting government back on the side of the people and making sure that our country comes first	putting obsessive partisanship aside
__label__Support	if we limit the influence of special interest money	all these other proposals are going to be a lot easier to get passed for the American people
__label__Support	I said we'd transition out of Afghanistan, and start making sure that Afghans are responsible for their own security	that's what I'm doing
__label__Support	they're based on prejudice and hatred, which gives rise to crimes that have not just a single victim, but they're intended to stigmatize and dehumanize a whole group of people	I think these crimes are different
__label__Attack	as a matter of fact there is	there still isn't enough money to pay for those programs and balance the budget by any - any estimates that I've been able to see
__label__Support	We figure that we are generally going along with any sort of a troop removal from Europe	there's other differences between the Perot approach and what we see up here on either side of me
__label__Support	We don't want to engage in a different kind of warfare	we're going to have to make it clear that we don't want to use the kinds of tools that we have
__label__Support	Governor Romney's allies in Congress have held the 98 percent hostage	The only reason it's not happening
__label__Attack	if we do get into a recessionary period we should move on that part of the economy which is represented by the private sector	I believe this economy is sound and that we're going to move up
__label__Support	he is the person who raised taxes on the middle class after saying he wouldn't	my view is the middle class is the -- they've been suffering
__label__Support	we've got a choice	We could allow our troops to just be on the defensive and absorb those blows again and again and again, if Pakistan is unwilling to cooperate
__label__Support	Bob Dole said in February of this year this is the strongest economy in 30 years	the economy is growing very strongly right now
__label__Support	There is going to be the need for each and every one of us to start thinking about how we use energy	I believe in the need for increased oil production
__label__Support	I want them to be proud of their vote in the years ahead	I want the voters to do is to make a decision
__label__Support	You keep your own insurance	if you've got health insurance, it doesn't mean a government takeover
__label__Attack	Many car companies came in from Germany, from Japan, went to Michigan, went to Ohio and they didn’t come in with you.	That is not true.
__label__Support	Joe Biden has a history of lifting people up and fighting for their dignity.	that’s what he’s going to do as President.
__label__Equivalent	People want to be safe.	People want to be safe.
__label__Support	tax cuts for child care	we're going to do is roll back tax cuts
__label__Attack	I think it makes the world safer and, frankly, it makes the United States safer	Donald wants to tear up our alliances
__label__Support	if the costs are proportionate to the benefits	if we're sure military action will succeed
__label__Support	as Senator Dole acknowledged this year	we are clearly better off than we were four years ago
__label__Support	It could reduce Saddam Hussein's abilities to threaten Kuwait and his other neighbors again	That's what I did
__label__Support	the Soviet Union will meet with a lot of different people	We've been in very close touch with Mr. Mitterrand, Mr. Kohl, and others that have met with the leaders of the Soviet Union
__label__Support	We gave Ambassador Glaspie written instructions	Then at the end of the war, when they had to go testify about it, their stories are a total disconnect from what they said in August, September and October
__label__Support	as a chief executive that's balanced ten budgets in a row	let me lay out for you my own strategy for bring that deficit down
__label__Support	If I were dealing with politics here, the polls show the American people want this	I'm not doing it for political reasons
__label__Support	we have an opportunity now with improved transportation systems and improved loading facilities in our ports, to see a very good opportunity on a world international market, to replace OPEC oil with American coal as a basic energy source	This commitment has been opening up a very bright vista for our nation in the future
__label__Support	That's totally absurd	we support the U.N. efforts there
__label__Support	We can't continue to shuffle children through school	one of the consequences to allow parents to have different choices
__label__Support	that we look at some of the underlying issues that have led to wages and incomes for ordinary Americans to go down	that's why it's so important, as we solve this short-term problem
__label__Support	in terms of having people come into our country, we have many criminal illegal aliens	When we want to send them back to their country, their country says we don’t want them
__label__Support	I said the creation of 3,000 new schools that we are going to help the states to finance	I support school choice
__label__Support	the world needs a strong America	it is stronger now than when I came into office
__label__Support	I believe I can	that's the kind of leadership style I'll bring to Washington
__label__Attack	two years later nobody's lost their handguns. I mean, their rifles	when we had the assault weapons ban in the Senate, Senator Dole fought it bitterly and opposed the entire crime bill and almost brought the entire crime bill down because the National Rifle Association didn't want the assault weapons ban, just like they didn't want the Brady Bill
__label__Support	once you put the responsibility on the federal government for paying a portion of teachers' salaries,	your local communities and your states are not going to meet the responsibility as much as they should.
__label__Support	There's been 15 million abortions since 1973,	I'd like to see the American who faced with 15 million abortions isn't rethinking his or her position and I'll just stand with the answer.
__label__Support	it's referred to as an assault weapon ban	it had, at the signing of the bill, both the pro-gun and the anti-gun people came togethe
__label__Support	There has never been anything like this, where e-mails—and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e-mails, and then you acid wash them or bleach them, as you would say, very expensive process.So we’re going to get a special prosecutor, and we’re going to look into it	There has never been anything like it, and we’re going to have a special prosecutor.
__label__Support	I know a lot of them that aren't working	One of them is in defense spending
__label__Attack	that I then had to turn around, as a governor of an energy-producing state, and kind of undo in my own area of expertise, and that's energy	it was Barack Obama who voted for that energy plan that gave those tax breaks to the oil companies
__label__Support	That is where I think the future of the world lies	I believe that we have a great interest in the Pacific Basin
__label__Support	we need to do is to reestablish the good relationships that we ought to have between the United States and our natural allies and friends	ermit us to deal with the developing nations in a position of strength.
__label__Support	Cocaine use up 160 percent	it seems to me what we need to do is to talk about not only tobacco but drugs
__label__Support	We're going to get it done	Get the economy going
__label__Support	helping people refinance their—their debt from college at a lower rate	Those are the kinds of things that will really boost the economy
__label__Support	I'm fighting to let you get those drugs from Canada	I'm fighting to let Medicare survive
__label__Support	This was a trick on the American people	This was not a way to pay down the deficit
__label__Support	The embryo had already been destroyed prior to my decision	I had to make the decision to destroy more life, so do we continue to destroy life
__label__Attack	It's about as valid as saying that you would have to be black in order to despise racism, that you'd have to be female in order to be terribly offended by sexism	I think what happens is when you try to equate whether or not I have had military experience, that's the natural conclusion
__label__Support	Mr. Kemp opposed that and called it unconscionable	The problem with this version of Niagara Falls is that Senator Dole and Mr. Kemp would put the economy in a barrel and send it over the falls
__label__Attack	it is just not true that I haven't met with the Black Congressional Caucus	This is a president who hasn't met with the Black Congressional Caucus
__label__Support	I would not meet Mr. Khrushchev unless there were some agreements at the secondary level - foreign ministers or ambassadors - which would indicate that the meeting would have some hope of success, or a useful exchange of ideas	On the question of the summit, I agree with the position of Mr. Nixon
__label__Support	It's a terrible problems in terms of flexibility on private insurance	I think we ought to do it by everybody doing what they can do out of conscience
__label__Support	they did an article which had me totally against the war in Iraq	I did not support the war in Iraq
__label__Support	We have to provide leadership	I will fight for a clean environment in ways that strengthen our economy
__label__Support	If the American people want to do it and not talk about it	I'm one person they ought to consider
__label__Attack	what you can do is create a fair playing field	I've never promised that
__label__Support	Bill Clinton has trouble telling the truth	this is a fundamental problem with Bill Clinton, is trust and character
__label__Support	We've allocated $7 billion over the next months for reconstruction efforts	we're making progress there
__label__Support	whenever you uh - uh - in - in - uh - appropriates money for one of these projects, you have to pay now and appropriate the money and the eh- while they eventually do pay out,	it doesn't mean that you - the government doesn't have to put out the money this year.
__label__Support	If I win	that will be accepted.
__label__Support	"when Governor Romney stands here, after a year of campaigning, when during a Republican primary he stood on stage and said ""I'm going to give tax cuts"	that's exactly the kind of top-down economics that is not going to work if we want a strong middle class and an economy that's striving for everybody
__label__Support	he listens to Donald on TV and he said to his mother one day, will he send me back to Ethiopia if he gets elected?You know, children listen to what is being said	think when you look at the letters that I get, a lot of people are worried that maybe they wouldn’t have a place in Donald Trump’s America
__label__Support	We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise	if we were to follow that recommendation, that we would lose all of our friends in Latin America, we would probably be condemned in the United Nations, and we would not accomplish our objective
__label__Attack	Nuclear power is safe	Senator Obama says that it has to be safe or disposable or something like that
__label__Support	"The Communists say, ""Come with us; look what we've done."" And we've been in - on the whole, uninterested"	I don't think this Administration has shown the foresight, has shown the knowledge, has been identified with the great fight which these people are waging to be free, to get a better standard of living, to live better
__label__Attack	the difference in our plans is I want that $2,000 to go to you	the vice president would like to be spending the $2,000 on your behalf
__label__Support	I was not put on the ballot by any PAC money, by any foreign lobbyist money, by any special interest money	I think the principal that separates me is that 5 and a half million people came together on their own and put me on the ballot
__label__Attack	You did not say that you would provide government help	I said that we would provide guarantees
__label__Support	a lot of mutual distrust developed	A lot of things happened which maybe shouldn't have happened
__label__Support	We ask the people that are viewing tonight, are you better off than you were four years ago.	Are you working harder to put food on the table, feed your children
__label__Support	reduce class size	We have to make it the number one priority
__label__Support	They were going up	if there was a connection I think that there would be a different parallel between deficits getting larger and interest rates going down.
__label__Support	"if the president of the United States and the Congress of the United States and the people of the United States said, ""I believe our nation is greater than what we are now."""	I believe together we can make great progress
__label__Support	I carried a ticket in the International Brotherhood of Electrical Workers for six years	I come from relatively modest circumstances
__label__Support	I think part of the answer to this haunting of these children that are out there and suffering lies in extension of Medicaid, to challenge the states	maybe we're going to have to enforce more on the states in terms of Medicaid taking care of these
__label__Support	I think that's an abuse of faith in our country.	All history tells us that that's a mistake
__label__Support	just as I never faulted Jesse Jackson from taking his message to the black pulpits all across this country	I do believe in pluralism.
__label__Support	that liberal Democrat grain embargo that knocked the markets right out from under us and made Mr. Gorbachev say to me when I was here, how do I know you're reliable suppliers	In the first place, never go back to that Democratic grain embargo
__label__Support	You said that his vote was political and you said it would cost lives	I respected you when you called him out on that
__label__Support	We have to renegotiate our trade deals	So we have to do that
__label__Support	These things are paid for in the balanced budget plan	My balanced budget covers mammograms for ladies, women on Medicare
__label__Support	I'll veto anything that takes money out of Social Security or Medicare for anything other than Social Security or Medicare	I think we have to make the right and responsible choices
__label__Support	The housing interest rates during this administration, for housing for middle-class Americans, was 14.5 percent.	I think what I'm going to have to do is I'm going to start correcting the vice-president's statistics
__label__Support	that's true throughout our whole governmental society	we are not doing the job we should be doing
__label__Support	we're going to keep on doing that	we are helping democracy
__label__Attack	what is at test here is the credibility of the United States of America and how we lead the world	How many leaders in the world today would respond to us, as a result of what we've done, in that way?
__label__Support	His political opposition is being put in jail	I think it goes beyond just the response to terror
__label__Support	stricter interpretation and consolidation of the various regulatory agencies that weren't doing their job, that has brought on this crisis	there's no doubt that we have a long way to go
__label__Support	this is uh - uh - part of uh - of just being a human being	I've made some mistakes
__label__Attack	With respect to the question of RU-486, we believe that That really was a question of whether or not it was safe to be used by women	Even Bill Clinton has advocated reducing abortion to make it as rare as possible
__label__Support	We'll stay on the hunt on Al Qaida	There is more work to be done
__label__Support	we have five percent of the world's population in this country	We're consuming 50 percent of the world's cocaine
__label__Equivalent	They don't have a plan	There isn't a plan there
__label__Attack	the strength that we have shown in Iran is shown by the fact that we've been able to mobilize the world	When I came into office, the world was divided
__label__Support	we've got to keep going forward without killing off the engine and throwing people out of work	it seems to me, in full enforcement of the catastrophic program
__label__Attack	An all-volunteer army is best suited to fight the new wars of the 21st century	We're not going to have a draft
__label__Support	that is: not just to keep freedom for ourselves but to extend it to all the world, to extend it to all the world	We must have a great goal
__label__Support	So we always had a rule, we divided by six	Maybe in your case maybe just two
__label__Support	the grand parents are faced with	It's important
__label__Attack	We can't put the Middle East peace process on our timetable	It's got to be on the timetable of the people that we're trying to bring to the peace table
__label__Support	where we are able, ultimately, to be more safe and secure	I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did
__label__Support	If you're poor, they pay all of it	I propose a real prescription drug benefit under Medicare for all seniors
__label__Attack	we have a very important decision to make	Will we use the prosperity to enrich all of our families and not just a few?
__label__Attack	there is no connection between the attacks of September 11th and Saddam Hussein	you've gone around the country suggesting that there is some connection
__label__Equivalent	The world is better off without Saddam Hussein	The world is safer without Saddam Hussein
__label__Support	I don't make new promises in an election year	We're going to get it done
__label__Support	They put out a plan, a bipartisan plan	I think something this big, this important has to be done on a bipartisan basis
__label__Support	I am not going to shortchange our troops in harm's way	We've got to pay our troops more
__label__Support	We've increased money for ammunition and weapons and pay and homeland security	I think we have an obligation to spend that kind of money
__label__Support	Most of the tax cuts went to low- and middle-income Americans	That's exactly where the tax cuts went
__label__Support	He wants to give you sort of a government tax cut, which really doesn't mean anything	he ought to apologize for wanting to take more and more
__label__Support	That wasn't proven when Ronald Reagan said we would do SDI, which is missile defense	it was major -- a major factor in bringing about the end of the Cold War
__label__Support	Two days ago in the Oval Office, I met with the finance minister from Iraq	he talked about how optimistic he was and the country was about heading toward elections
__label__Support	Instead our aid continued to Batista, which was ineffective	today Cuba is lost for freedom
__label__Support	as far as - as strength derived from doing what's right - caring for the poor, providing food, becoming the breadbasket of the world instead of the arms merchant of the world	in those respects, we're not strong
__label__Support	the Iraqis want to be free	We will succeed
__label__Support	to re-establish that certitude in our neighborhoods	That's why Barack Obama and I are running
__label__Support	it's a test for him whether he represents the old guard in the Soviet Union	I think this is an opportunity for the United States to test President Putin of Russia
__label__Support	The quality of the air is cleaner since I've been the president of the United States	I just told you the facts
__label__Support	Let me tell you what I tried to do about it	I appointed a four-star general who led our efforts south of the border to keep drugs from coming into the country as our nation's drug czar
__label__Support	It's not taking anything away from schools, it's new money	It's not being taken away from anybody else, except we'll downsize the Department of Education
__label__Support	we have four Americans killed there, when apparently we didn't know what happened	the president, the day after that happened, flies to Las Vegas for a political fund-raiser, then the next day to Colorado for another event, other political event
__label__Support	mayors are ready.	Builders and community leaders are ready
__label__Support	it requires steadfast determination	it requires a complete understanding that we not only chase down Al Qaida but we disrupt terrorist safe havens as well as people who could provide the terrorists with support
__label__Support	That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work	We also have to make the economy fairer
__label__Support	I don't think we need to do it	I do not want to go the tax-and-spend route
__label__Attack	the fact of the matter is, we used the same advisers, and they say it's the same plan	Governor Romney at the beginning of this debate wrote and said what we did in Massachusetts could be a model for the nation
__label__Attack	He believed up until the day he died -- no, it's true, he died last year and just before he died, he co- authored an article which was -- had statements taken completely out of context	Senator Gore's mentor had disagree with some of the scientific data that is in his book
__label__Support	Was this really going to war as a last resort?	The president rushed our nation to war without a plan to win the peace
__label__Support	It's time for a chief executive who can make tough choices	We've had enough of that, ladies and gentlemen
__label__Support	Think of this as their country	what I've also said is for young people who come here
__label__Support	You must look at accomplishments	Qualifications for the office of Vice President or President are not age alone
__label__Support	the president is cutting the COPS program in America	We hadn't done the work that ought to be done
__label__Support	That's what he's done when it comes to economic policies that will help working families get a leg up	Joe has always made sure that he is fighting on behalf of working families
__label__Support	we were far stronger relative to the Communists five years ago, and what is of great concern is that the balance of power is in danger of moving with them	I'm not as confident as he is that we will be the strongest military power by 1963
__label__Attack	Not mathematically possible	you can cut tax rates by 20 percent and still preserve these important preferences for middle-class taxpayers
__label__Support	education. I agree	Education is key, particularly the future of our economy
__label__Support	19 out of 20 computer chips that we have in this country now come from Japan	We've given away whole industries
__label__Support	you look at all the studies the different groups have done, you go out 4, 5, 6 years	we're still drifting along with a huge deficit
__label__Support	the problem for the young people today is that they are paying in far more than they can ever expect to get out	I don't believe we can go on increasing the tax
__label__Support	It is a school full of so-called at-risk children	It's how we unfortunately label certain children
__label__Support	He'll say all these things to try and scare people	They haven't put a credible solution on the table
__label__Attack	it doesn't converge as the President suggests.	I think that the lines can meet
__label__Support	we trust freedom	I think the United States must be humble and must be proud and confident of our values, but humble in how we treat nations that are figuring out how to chart their own course
__label__Support	This president rushed to war	Iran now is more dangerous, and so is North Korea, with nuclear weapons
__label__Support	Nobody’s ever seen numbers like this for health care	It’s only getting worse
__label__Support	it's such an assault on their humanity and their citizenship	the sad fact is that racial profiling occurs in this country
__label__Support	we could have done what other embassies did - either strengthen our security there, or remove our personnel before the kidnap and the takeover took place	there was a second phase in the Iranian affair in which we had something to do with that
__label__Support	I do not believe we should have either compulsory arbitration or seizure	I have a basic disagreement with Senator Kennedy, though, on this point
__label__Support	I helped double the NIH budget to $28 billion a year to find cures	the approach I took is one that I think is a balanced and necessary approach
__label__Support	then they did an article in a major magazine, shortly after the war started	The record shows that I'm right
__label__Support	I would find terrorists where they are and stop them and kill them before they do harm to us	My first priority would be to keep this country safe
__label__Support	would have been paid for through the Social Security System and the Social Security tax.	the kind of programs that I've talked about, in my judgment, are uh - fiscally sound.
__label__Support	We cannot afford to have a nuclear arms race in the most volatile region of the world	a nuclear Iran is a threat to our national security, and it is a threat to Israel's national security
__label__Support	we're telling our children and all future generations that we weren't willing to face up to this obligation	I believe that we have a mandate to try to solve this problem, particularly when we can do it while we create jobs in the process
__label__Support	if you let me write $200 billion worth of hot checks every year, I could give you an illusion of prosperity, too	This is an administration that has more than doubled the national debt, and they've done that in less than eight years
__label__Support	We've taken money out of the procurement budget to support other ventures	We have not been investing in the future of the U.S. military
__label__Support	we've suffered	We need to restore the faith and the trust of the American people in their own government
__label__Support	he just hasn't been able to cut the deficit	his policies haven't worked
__label__Support	One out of almost two children in Cleveland are now living in poverty	in the last four years, 1.6 million private sector jobs have been lost, 2.7 million manufacturing jobs have been lost
__label__Support	We provide the leadership	we're going to have to continue to provide the leadership
__label__Support	It is higher than in either of the last two Republican administrations	the economy is growing very strongly right now
__label__Support	it's not time to divorce	we have some work to do
__label__Support	The idea he doesn't realize that Article I of the Constitution defines the role of the vice president of the United States, that's the Executive Branch	Vice President Cheney has been the most dangerous vice president we've had probably in American history
__label__Support	That's the way we're going to provide basic health security for all of the citizens of this country of ours	I think it's time that when you got a job in this country it came with health insurance
__label__Support	We've got to open up the possibilities of this research	when I am president, I'm going to do it
__label__Support	I want the families to have the choice	we have a big difference on child care, for example
__label__Support	I don't think there was any implication in Secretary Dulles' statement that Quemoy and Matsu should not be defended in the event that they were attacked	that attack was a preliminary to an attack on Formosa
__label__Attack	Osama bin Laden attacked us	"In answer to your question about Iraq and sending people into Iraq, he just said, ""The enemy attacked us."""
__label__Support	There's a big difference between the two of us	I will keep us strong
__label__Support	a plan is not to lay out programs that you can't pay for	It's an empty promise
__label__Support	maybe to some in this Bushnell Memorial that it's not a lot of money, but people watching tonight with a couple of kids, a working family, that's four or five months of day care, maybe a personal computer; it's may be three or four months of mortgage payments	This economic package is about families
__label__Attack	I'm cutting more than I'm spending so that it will be a net spending cut	you'll hear Senator McCain say, well, he's proposing a whole bunch of new spending
__label__Support	you will sit down across the table from them and that will legitimize their illegal behavior	saying, they've probably been doing the right thing
__label__Support	He has a 15-year-old daughter named Caley, who is in Sarasota High School	Her science class was supposed to be for 24 students
__label__Support	We've expanded Pell Grants by a million students	to make sure when they get out of high school there's Pell Grants available for them
__label__Support	we're going to hold people accountable	I'm going to have a special prosecutor
__label__Support	I think it's time we get rid of PAC money	I'll tell you the kind of campaign reform I'm supporting, Senator Bentsen
__label__Support	95 percent of our containers coming into this country are not inspected today	When you get on an airplane, your bag is X- rayed, but the cargo hold isn't X-rayed
__label__Support	They didn't address the sort of the question of whether or not there should or should not be abortion in the society so much as evaluate that particular drug	With respect to the question of RU-486, we believe that That really was a question of whether or not it was safe to be used by women
__label__Equivalent	it’s going to create millions of good-paying jobs.	it’s going to create thousands and millions of jobs.
__label__Support	we need military strength	We have to move ahead in order to stay ahead
__label__Support	any connection with Al Qaida is tenuous at best	there is no connection between Saddam Hussein and the attacks of September 11th -- period
__label__Attack	when it comes to ridicule, George, you win a gold medal	ridiculing a person's name is a little beneath this process
__label__Support	I wouldn't use force	It's not in our national interest to use force in this case
__label__Support	we're beginning to close a minority achievement gap now	we've got to get it right in the education system
__label__Support	This costs our uh - government about uh - $1.4 billion a year	This permits a company to create uh - a dummy corporation, to export their products, and then not to pay the full amount of taxes on them
__label__Attack	you got to play by the rules	We want a world that's stable
__label__Support	You get a catastrophic plan to help you on it	It's good for small businesses, good for owners
__label__Support	If you got the Government down to the lowest level	you yourself could say it could not go any lower and still perform the services for the people
__label__Support	We're funding them	I think that we're showing the proper compassion and concern
__label__Support	Free nations will help us achieve the peace we all want	we're pursuing a strategy of freedom around the world
__label__Support	I think my position has been correct	I have been supporting the President's position throughout
__label__Support	Former chief of the -- Joint Chiefs of Staff said that -- Admiral Mullen said that our debt is the biggest national security threat we face	we have weakened our economy
__label__Support	there seems to be a lot of preoccupation on -- not certainly only in this debate, but just in general on law	there's a larger law
__label__Support	he made a special trip to come back and vote against a cost-of-living increase	I think it's very important that we not see these kinds of end runs by this administration
__label__Support	the White House made no attempt to block the issuing of that report	I understand that the report today is accurate
__label__Attack	The reason is, we've had absolutely no leadership	that's not the reason for this health insurance crisis
__label__Equivalent	He is forthright.	He, he is honest.
__label__Support	They invited the lobbyists for the biggest polluters in America to come into the Congress and literally rewrite the Clean Water Act and the Clean Air Act	The environment faces dire threats from the kind of legislation that Senator Dole and Speaker Newt Gingrich tried to pass by shutting down the government and attempting to force President Clinton to accept it
__label__Support	Social Security that is stable and solvent for all Americans and not just some	we are going to be in a position to deal with Social Security and deal with Medicare
__label__Support	I did have a life before that as well.	I wasn't born at the age of forty-three when I entered Congress
__label__Support	I don't want to try to put our troops in all places at all times	I don't want to be the world's policeman
__label__Support	If you pay taxes, you ought to get tax relief	I don't think that's the role of the president to pick you're right and you're not right
__label__Support	"a lot of people might be interested in Senator Obama's definition of ""rich"	the worst thing we could possibly do is to raise taxes on anybody
__label__Support	I've worked hard to help families impart values to their own children	they were a legitimate effort to help people make the most of their own lives
__label__Support	I believe that they were satisfied.	I wanted them to move ahead
__label__Support	Once it's a drug, does it apply only to teenagers or everybody in America	They haven't said what's going to happen
__label__Support	politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what—is so bad	what they're doing is they're leaving our country
__label__Support	they're going to be able to compete in a world economy and that makes us stronger	When we educate our children
__label__Support	to this day, not one of its decisions or rulings has ever been challenged	I think some of those charges are missing the point
__label__Equivalent	We should come to its defense	I believe strongly in the defense of Formosa
__label__Support	starting to invest in alternative energy, solar, wind, biodiesel	I've put forward a plan to make sure that, in 10 years' time, we have freed ourselves from dependence on Middle Eastern oil by increasing production at home
__label__Support	then the prospects for our society gain	I think we have to demonstrate to the people of the world that we're determined in this free country of ours to be first - not first if, and not first but, and not first when - but first
__label__Support	the president broke his promise on immigration reform	Four years later he is now promising another plan
__label__Support	I agree with what he's talking about in trying to get this spending down and the discipline	I think we ought to totally exempt Social Security
__label__Attack	I think most Americans would say that doesn't make sense	Right now, you can actually take a deduction for moving a plant overseas
__label__Support	Then Cuba shot down two of our planes and murdered four people in international air space	They were completely beyond the pale of the law
__label__Support	The United States must maintain a defense capability of the Panama Canal	the United States will maintain our national security interest in the Panama Canal
__label__Support	the name itself implies some sense of dependency on the part of these folks	These are folks who've worked hard, like my grandmother
__label__Support	it wasn't just that small businesses were seeing costs skyrocket and they couldn't get affordable coverage even if they wanted to provide it to their employees	It wasn't just that this was the biggest driver of our federal deficit, our overall health care costs, but it was families who were worried about going bankrupt if they got sick, millions of families, all across the country
__label__Support	there were clerics there	I think that this is what we should concentrate on
__label__Support	you can actually hear the audio of him saying that	it matters
__label__Support	Making sure that CEOs are not enriching themselves through this process	the financial rescue plan that Senator McCain and I supported is an important first step
__label__Attack	do we want this country to go that far left	He is very passionate
__label__Support	I stood up	I have a record
__label__Support	There's been too much finger pointing and too much name calling in Washington, D.C.	I'm running to get some things done for America
__label__Support	As soon as I became president, I initiated a meeting with the NATO heads of state and met with them in Brussels to discuss how we could improve the re- defense relationship in Western Europe	You can go around the world - and let me take Israel for example.
__label__Support	If we can stand up for our economics	we ought to be able to preserve the democratic interests of the people of China
__label__Support	The Arctic National Wildlife Reserve is one of them	there are places where we think we ought to go forward and develop those resources
__label__Support	In Oregon, not too long ago, a farmer took 25 percent of his property and declared it a wetland. It had the runoff of snow that allowed it to be declared a wetland, but he did it himself voluntarily. He found within a couple of years that the Bald Eagle began to use it as a habitat. The Corporations of Engineers, the Bureau of Wildlife and Fisheries, all of the federal agencies came onto his property, declared it a federal wetland and said he couldn't drive. They took away the road, he couldn't mend his fences and they wouldn't pay the value of the loss of the -- they wouldn't pay -- or compensate, I should say, for the loss of value to that property	It's happening
__label__Support	He didn't	the United States left in humiliation
__label__Support	He's not been a maverick when it comes to education	He has not supported tax cuts and significant changes for people being able to send their kids to college
__label__Attack	Mr. Ford, unfortunately, has just made a statement that's not true	Mr. Carter has indicated he would look with sympathy to a Communist government in NATO
__label__Support	as a consequence, Al Qaeda's core leadership has been decimated	that's what we've done over the last four years
__label__Support	You're entitled to it	We also want to reform the tax code
__label__Attack	it's not everything	I believe experience counts
__label__Support	we need the new strategy	we will prevail in Afghanistan
__label__Support	the plan that he has outlined is the one we've been following for quite some time, including diplomatic processes throughout Central America and working closely with the Contadora group	I thought for a moment that instead of a debate I was going to find Mr. Mondale in complete agreement with what we're doing
__label__Support	I don't question his passion	that's a certain passion
__label__Support	Another thing is a system called DISC which was originally designed, proposed by Mr. Nixon, to encourage exports	A few things that can be done
__label__Equivalent	He vetoed middle class tax relief this year	just this year, Mr. Bush vetoed a tax increase on the wealthy that gave middle class tax relief
__label__Support	We've had a 25% reduction since the first year I was in office	we're importing today about one-third less oil from overseas than we did just a year ago
__label__Support	Look what happened in Baltimore.	it was more violent than what I’m even seeing now.
__label__Support	they figured out that between the tax cut that Governor Reagan is promising the American people, and the tax cut that Jimmy Carter is promising in 198I, his is worth about $122 more	you, dear voters, are out there on the auction block, and these two candidates are bidding for your votes
__label__Support	there are going to be things that end up having to be deferred and delayed	I want to make sure that we are investing in energy in order to free ourselves from the dependence on foreign oil
__label__Attack	I think he ought to be ashamed of mentioning that statement	more jobs available
