head,relation,tail
"$30 billion, even cut funds for scholarships and college loans",said in,06-10-1996
i think the reason that we're not saying send american troops in at this point is severalfold,said in,30-09-2004
"we are asking for men and women to join the military as a career, and we're asking them to deal with the most sophisticated of equipment",support,"a young man is out there on a $1 billion carrier in charge of the maintenance of a $20 million aircraft, working 100 hours a week at times, and he's earning less for himself and his family, while he's away from his family, than he could earn if he were in one of the most menial jobs, working 40 hours a week here at home"
no preferences to unqualified people,support,don't give up on making an extra effort until you're sure everybody has a chance to prove they're qualified
i’ve stood up to russia,attack,"they’ve also decided who they want to see become president of the united states, too, and it’s not me"
"a year ago he said, ""i was right then",is a,claim
"what we do need to do, though, is control the growth of these mandatory programs",said in,11-10-1992
"cause much deeper cuts in medicare, medicaid, education and the environment",said in,09-10-1996
when are you going to stop using our tax dollars to shut down american factories and move 'em to foreign countries and throw americans out of work?,is a,claim
we didn't make a judgment in fifty-seven and fifty-six and fifty-five and fifty-four that outer space would be important,said in,21-10-1960
nobody cares,said in,29-09-2020
it's just not true,attack,is down
how long can we continue with trickle-down economics when the record of failure is so abundantly clear?,said in,13-10-1992
we don't have to settle for what we're going through,said in,16-10-2012
on each one of those issues i have more experience than does the governor of massachusetts,is a,premise
"he left the senate, we abandoned that",is a,claim
"we can not only create jobs in wind and solar here in the united states, we can export it",is a,claim
"one is governor avell- averell harriman, who visited the soviet union and yugoslavia",is a,premise
"former president nixon talked about what we are going to do after detente and arms control, and how we are going to pursue new arms control with the soviet union",is a,premise
i have fought against excessive spending and outrages,said in,07-10-2008
"when it came to osama bin laden, the president the first day in office, i was sitting with him in the oval office, he called in the cia and signed an order saying, ""my highest priority is to get bin laden.""",said in,11-10-2012
"these are just ideas of what i would think of if i were in that position and had access to the information, and which i would know all the options that were open to me",said in,28-10-1980
i expect those new energy sources to be built right here in the united states,is a,premise
where there are no failing schools,said in,17-10-2000
we need to make sure that internal affairs divisions at the local level do their job and be given a chance to do their job,said in,11-10-2000
a judicious use of the military which will help keep the peace,is a,claim
because you weren’t president and screwing things up,equivalent,because you weren’t president
young girls are going to school,is a,claim
i think we ought to be collaborative at the local levels,is a,claim
i have a difference with this president,is a,claim
i thought the president made the right decision in joining nato and bombing serbia,support,i think it's a triumph
49th for women with health care,support,there is a record here
"there have been 250,000 jobs lost in the automobile industry during the reagan-bush-quayle years",is a,premise
to do what is right for the american people,support,put government back on the side of the american people
we sent it to the clinton administration for implementation,said in,16-10-1996
it is one that will continue to be a problem for years to come,is a,claim
promises were made and promises were kept,attack,we  've had eight years of talk but no action
somebody has heard the call to love a neighbor like you would like to be loved yourself,is a,claim
after we killed bin laden i was at ground zero for a memorial and talked to a young women who was four years old when 9/11 happened,is a,premise
that's true throughout our whole governmental society,is a,claim
some may be better off,is a,premise
we are going to have to have some leadership from washington that not only sets out much better regulations for the financial system,said in,07-10-2008
it's adding to cost,support,it's expensive
missy understood that,said in,30-09-2004
you can clear it up by simply repeating i support the right of a woman to choos,is a,premise
we've done a lot to reduce the cost of health care,said in,05-10-2004
i think that this farm policy has failed,support,in my judgment the only policy that will work will be for effective supply and demand to be in balance
it would strip away those tax breaks that have gone to oil companies,said in,26-09-2008
even knowing there was no imminent threat,support,i think troubles a lot of people in our country is that the president has just sort of described one kind of mistake
the best way for iraq to be safe and secure is for iraqi citizens to be trained to do the job,support,the best indication about when we can bring our troops home is to see the iraqis perform and to see the iraqis step up and take responsibility
the best way to defend america in this world we live in is to stay on the offense,is a,premise
"that's kind of a pre-september 10th mentality, the hope that somehow resolutions and failed inspections would make this world a more peaceful place",is a,premise
i went anyway,said in,03-10-2000
we can store and we can reprocess,is a,claim
here's some help for you to go to a community college,support,i've got policies to continue to grow our economy and create the jobs of the 21st century
i have a plan to cover those folks,said in,08-10-2004
"as a matter of fact, we are using the department of defense in a coordinated effort, in reconnaissance",said in,05-10-1988
i was surprised to hear you mention that,said in,02-10-2008
"it's been my judgment ever since 1954, at the time of the eisenhower doctrine for the far east, that our line should be drawn in the sea around the island itself",said in,07-10-1960
"what i want is the cleanest, crystal clear water, the cleanest air",is a,premise
i don't think he has to be a dictator,is a,premise
the person who wants to use a gun for an illegal purpose can get it whether it's registered or outlawed,said in,22-10-1976
the difference is we've got a new policy,said in,03-10-2000
we ought to be able to build more common ground among those who describe themselves as pro-choice and pro-life in efforts to reduce the number of unwanted pregnancies,is a,claim
he's not been a maverick on virtually anything that genuinely affects the things that people really talk about around their kitchen table,support,"so maverick he is not on the important, critical issues that affect people at that kitchen table"
let's not forget that hundreds of thousands of lives were saved there,support,i believe they did the best they could under the circumstances
we have to be able to compete in the world market,support,we have to be able to sell abroad more than we consume uh - from abroad if we're going to be able to meet our obligations
"below that, there isn't anybody out of the hundreds",said in,30-09-2004
"they're matters of very deep conviction, as far as many, many people in this country believe",is a,premise
"when i heard george bush say at the convention in houston, that when he heard the phrase ""we won the cold war,"" it made him wonder who the ""we"" was",is a,premise
we've got to help russia succeed in its revolution and all of its republics,is a,claim
over the last 10 years we've created manufacturing jobs much more rapidly than the national average,said in,19-10-1992
the administration set it up and pulled the plug on it,is a,claim
you were the ones that took out the troops,attack,"george w. bush made the agreement about when american troops would leave iraq, not barack obama"
"i come out of the democratic party, which in this century has produced woodrow wilson and franklin roosevelt and harry truman,",is a,claim
we are both against the reimposition of a peacetime draft,said in,21-09-1980
"i see mothers holding their babies up, so that they can see a man who might be president of the united states",is a,premise
our schools can be made to be even better still with the right kind of community leadership and partnership at the school level,said in,06-10-1996
who hopefully have a sense of what real-world folks are going through,is a,claim
"their son, brett, was in the bed next to our son and they couldn't pay their medical bills",is a,premise
maybe they know something that george bush and dan quayle don't know,said in,13-10-1992
you would share this very super-sophisticated technology with the soviet union,said in,21-10-1984
there are a lot of ways to be competitive,support,that's how you create jobs and become competitive
if we do it,is a,premise
every middle class family is eligible for a tax cut under my proposal,is a,claim
it's true,is a,premise
making the government more efficient,is a,claim
"yes, we shouldn't trade arms for hostages",said in,25-09-1988
i support a national patient's bill of rights,said in,17-10-2000
you tried it last time you ran,said in,16-10-1996
the issue of procurement is very important,is a,claim
answer is the rich are paying 6 percent more on taxes and the poor are getting a better break,support,"yes, i favor disclosure"
they would know all about our problems,is a,claim
i don't have a plan to tax -- or increase taxes,said in,07-10-1984
"if it's incest, how do you draw moral judgments on that?",support,"it's a personal and private, moral judgment"
he did it,is a,claim
"i don't think it's a wise idea for presidential candidates to appoint the members of his cabinet prospectively, or to suggest four people - indicate that one of them surely will be appointed",said in,21-10-1960
you’d be surprised,equivalent,you’d be surprised
we use airports and hangers and we have a lot of people,said in,29-09-2020
he was against the f - 14 fighter,is a,premise
"here's what we're saying: give younger people, when they become medicare eligible, guaranteed coverage options that you can't be denied, including traditional medicare",is a,claim
it's god's will,is a,premise
today cuba is lost for freedom,is a,claim
"the soviet planning, i did learn that when i was director of central intelligence, and i don't think there'd be any disagreement, is based on that ugly concept",said in,11-10-1984
our nation has been on a multi-pronged strategy to keep our country safer,is a,claim
"it's about getting 12 million jobs, higher take-home pay, getting people out of poverty into the middle class",support,that's what our five- point plan for a stronger middle class is all about
that's what john mccain has been known for in all these years,said in,02-10-2008
"i'm a catholic, raised a catholic",support,i was an altar boy
zarqawi and his people are trying to fight us,support,"of course, iraq is a central part in the war on terror"
we handled it responsibly,is a,premise
the best indication about when we can bring our troops home is to see the iraqis perform and to see the iraqis step up and take responsibility,support,that's when
"so don't smoke, don't drink, don't use drugs",said in,16-10-1996
"they don't have to, providing we have the leadership that we put -- that i'm offering",said in,30-09-2004
"if we have osama bin laden in our sights and the pakistani government is unable or unwilling to take them out, then i think that we have to act and we will take them out",said in,07-10-2008
when you say what the american people have done over these last eight months hasn’t worked,is a,premise
we practice 19th century capitalism,support,"in the rest of the world, the countries and the businesses would be working together to make this transition in an intelligent way"
"i'll give you one, that hmet, that heavy truck, that's cost what is it $850 million and the pentagon didn't request it and, yet, a member of congress, a very powerful one, put it in the budget",support,i think we can save money through this whole very sophisticated concept
"the saudi's and the qatari, and -- and the turks are all very concerned about this",support,they're willing to work with us
"he has about a third as much chance to be a professional man,",support,i'm not satisfied until every american enjoys his full constitutional rights
it's a closed society,said in,06-10-1996
"joe biden will not raise taxes on anyone who makes less than $400,000 a year",said in,07-10-2020
"the only years that anybody's ever seen were a couple of years when he had to turn them over to state authorities when he was trying to get a casino license, and they showed he didn't pay any federal income tax",is a,premise
that's having a government from the people,said in,19-10-1992
pakistan's weapons can already hit israel and the mediterranean,support,so they're both very dangerous
to deal with exactly the kind of ups and downs of energy prices,support,we also have a short-term strategy
the soviet union in 1955 expressed regrets to us over the bering sea incident,is a,claim
he used undocumented labor to build the trump tower,support,donald knows a lot about this
the person who wants to use a gun for an illegal purpose can get it whether it's registered or outlawed,support,a national registration of handguns or handgun owners will solve the problem you're talking about
"there were fourteen people uh - in addition to myself on the ballot, and governor wallace had been very strong in georgia",support,that's an overwhelming support from my own people who know me best
he will increase spending,said in,13-10-1992
we've got a man who knows how to fix it,is a,claim
"they're good, average, middle-class, hardworking americans",is a,claim
november of 1975 i met with the leaders of the five industrial nations in france for the purpose of seeing what we could do acting together to meet the problems of uh - the coming recession,said in,06-10-1976
"when these presidential debates were held just four years ago, i remember the incumbent president, who was willing to debate, president ford, telling the american people that they simply ought not to vote for somebody who promised more than they could deliver",is a,claim
i said that wasn't the right thing to do,is a,premise
"i think that this uh - is one example where uh - a lot of people have selfish, grasping ideas now",is a,premise
"the vice president's plan does not have annual accountability, third grade, fourth grade, fifth grade",is a,claim
"to let people save in an ira and withdraw from it without a tax penalty for education, home buying or medical expenses",is a,premise
iran and north korea are now more dangerous,support,"as president, i'll never take my eye off that ball"
she talks about violence at my rallies,is a,claim
those schools belong to you,support,"as long as we put up with that, that's what you're going to get"
they're not correct,is a,claim
a lot of our military are underpaid,is a,claim
"each and every one of us can start thinking about how can we save energy in our homes, in our buildings",said in,07-10-2008
you guys opposed the surge,is a,claim
it's time for america to find new leadership,support,we need to move on
"in the case of missile defense, senator obama said it had to be, quote, ""proven",support,"that wasn't proven when ronald reagan said we would do sdi, which is missile defense"
i think it exists because of the ingenuity and hard work of the american people,said in,17-10-2000
the governor's plan is social security minus,said in,03-10-2000
because in the past he has argued that there was -- there's rape and forcible rape,support,"now with regard to the way in which the -- we differ, my friend says that he -- well i guess he accepts governor romney's position now"
i've done a lot of things that were controversial,is a,claim
we're busy trying to find the centers where these operations stem from,is a,claim
there's a difference between preconditions and preparation,is a,claim
"this president in the last debate said, ""well, that would be a big tax gap if we did that.""",is a,premise
his influence is growing,is a,premise
we have looked to our commanders on the ground in iraq for guidance on what they think they need,is a,premise
would enable him to be more effective than we have been in handling these strikes,said in,13-10-1960
they had a cease-fire three weeks ago,said in,19-10-2016
this is the kind of policies that ultimately end up undermining our ability to fight the war on terrorism,said in,07-10-2008
how is it that we shredded so many regulations,is a,claim
"take russia, for example",support,they're going to have to make the decision themselves
"she negotiated with the oil companies and faced them down, a $40 billion pipeline of natural gas that's going to relieve the energy needs of the united -- of what they call the lower 48",is a,claim
"we ought to do, and we're doing everything we can to get the inspectors back in there",is a,premise
the best way to keep jobs here in america and to keep this economy growing is to make sure our education system works,support,i've got policies to continue to grow our economy and create the jobs of the 21st century
i do not believe that abraham lincoln would have adopted bob dole's position to end all affirmative action,is a,premise
there were some parts of the country that were worse off,is a,claim
"the way we do it is $2.50 for every cut, we ask for $1 of additional revenue, paid for, as i indicated earlier, by asking those of us who have done very well in this country to contribute a little bit more to reduce the deficit",support,"you can look at all the numbers, what cuts we make and what revenue we raise"
i hope the congress will fully fund this bill,said in,25-09-1988
"the people in youngstown, ohio, have stores that are boarded up",is a,claim
"the best thing i had when i ran that civilization, it succeeded, and it's a landmark",said in,13-10-1992
i want to see asymmetrical reductions in conventional forces,said in,25-09-1988
maybe there is no hacking,is a,premise
"nobody should have any doubt about that, least of all our adversaries or potential adversaries",is a,claim
"crippling sanctions are something i called for five years ago, when i was in israel, speaking at the herzliya conference",is a,premise
there’s nothing happening there,said in,29-09-2020
"i think if you looked at the deductions, there were great legal expenses in there",is a,claim
we just had a pretty serious dispute with china,said in,16-10-1996
we don't need more of them in the senate or more of them in the house,support,i hope a lot of them lose
we're facing problems of the environment,is a,claim
"still in these waning days of the bush administration, trying to forge that peace,",is a,claim
"the top 2 % which you refer to, that gets you down to $64,000",said in,13-10-1992
the analysis that he's talking about leaves out more than half of the tax cuts that i have proposed,is a,claim
"i found one thing in governor bush's answer that we certainly agree on, and that's the low income heating assistance program",is a,premise
they're -- they're still arming the man,support,we should not have waited to russia should not have waited for russia to give us the green light at the u.n. to do something about it
senator obama was the second highest recipient of fannie mae and freddie mac money in history,is a,claim
to improve the industrial complex of this country,said in,28-10-1980
"they're all nice people, they're just in a bad system",said in,15-10-1992
they are permanently sentenced to a lifetime of failure,support,what we want to do is to change that
the president and i will go forward to make the tax cuts permanent,is a,claim
they had to close down the subway in new york when the republican convention was there,said in,30-09-2004
"we need to do a better job of working, again, with the communities, faith communities, business communities, as well as the police to try to deal with this problem",is a,premise
which we have increased since i've been the president of the united states,is a,claim
"i think that we have observed, ourselves, and have done our best to see that human rights are extended throughout the world",said in,21-10-1984
i never met putin,support,of course i condemn
we should export the technology by investing in clean coal technology,attack,john mccain has voted 20 times against funding alternative energy sources
i'm glad that you recognize that al qaida is a threat,said in,22-10-2012
i believe the president of the united states should indicate it,support,i think that the president operates in a number of different areas
we can do it again,is a,claim
"it's being fought primarily in asia, in africa, and in latin america",support,in this cold war we have to recognize where it is being fought and then we have to develop programs to deal with it
we do need the private sector to be able to keep more of what we earn and produce,is a,claim
"there's just no doubt in my mind we would rue the day, had saddam hussein been in power",said in,30-09-2004
we're overcommitted and underresourced,is a,premise
john mentioned the fact that business taxes on paper are high in this country,said in,26-09-2008
"one being russia, where we had imf loans that ended up in the pockets of a lot of powerful people and didn't help the nation",support,there's some pretty egregious examples recently
"i think if we had stuck by that position last winter, we would have been in a better position in may",support,i believe the next president in january and february should go to work in building the strength of the united states
take it away from the special interests and have people go to washington to serve,is a,premise
we didn't use the best trained troops in the world to go kill the world's number one criminal and terrorist,said in,30-09-2004
you've got every rich middle eastern country over there trying to buy nuclear weapons,is a,claim
"we know from all the studies that the youngsters learn, kids learn more in the first few years of life than any where else",support,i want to work for universal free school
i would make sure that key members of congress were called in to discuss the gravity of the situation,is a,claim
"the administration, fda worked 12 years on this serious problem",support,i would not support legislation that is being introduced in congress to override the food and drug administration decision on ru-486
that's his policy,support,i do want to make sure that we just understand something
somebody’s got to do something about antifa and the left,is a,claim
"just this year, mr. bush vetoed a tax increase on the wealthy that gave middle class tax relief",is a,premise
he has gradually repressed most of the liberties that we would expect for nations to observe,is a,premise
"we've had enough of that, ladies and gentlemen",is a,premise
"that on math and reading, that in fact our minority students, our hispanic and african-american students are doing better",is a,premise
"median income is down $4,300 a family and 23 million americans out of work",is a,claim
"shift from oil to coal, emphasize research and development on coal use and also on solar power, strict conservation measures, not yield every time that the special interest groups uh - put pressure on the president like uh this administration has done, and use atomic energy only as a last resort with the strictest possible safety precautions",is a,claim
"mine are words, and his was action",said in,09-10-2016
they can buy a computer for their kid who's going off to college,support,"which means they're spending more money, businesses have more customers, businesses make more profits, and then hire more workers"
recognize the legitimacy of those kids that were carrying the statue of liberty,is a,claim
"i believe that a woman owns her body and what she does with it is her own business, period",is a,claim
medicare is in a different one,is a,premise
one life lost is too many,is a,claim
that is absolutely outrageous,attack,you have used our tax dollars to subsidize the recruitment of us companies to move overseas and throw americans out of work
it's not as big as yours so it doesn't take as long,support,i don't look at my pension
you're talking about deploying,is a,claim
"the first position you took, when this matter first came up, was that we should draw the line and commit ourselves, as a matter of principle, to defend these islands",is a,claim
that's just the way it is,is a,premise
i believe those troops deserve better than what they are getting today,is a,premise
there's a difference between preconditions and preparation,support,"it means is that we don't do what we've been doing, which is to say, ""until you agree to do exactly what we say, we won't have direct contacts with you"
i believe in them,said in,13-10-1988
we believe in law and order,is a,premise
there is a difference of opinion,is a,claim
it's going to take all the nations together,said in,21-10-1984
afterwards they pay 64%,is a,claim
i really don't think your rights are being watered down,is a,claim
"where the soviet union has acted irresponsibly, as they have in many of those countries",is a,claim
everybody should make the extraordinary effort to take these kids that are unwanted and sometimes aborted,said in,25-09-1988
i used to sign welfare checks for my grandparents,is a,claim
this administration has reduced the size of the military by a million four hundred thousand,is a,premise
i haven't changed my mind,is a,claim
"i think the most important thing to emphasize, though, is that we also have to help people in other ways to build a strong economy",said in,16-10-1996
we had a recession in fifty-four,said in,21-10-1960
"what we all saw and heard on friday was donald talking about women, what he thinks about women, what he does to women",is a,claim
"i think our targeting of al qaida leaders—and i was involved in a lot of those operations, highly classified ones—made a difference",support,i would specifically target baghdadi
we also raised the amount of each pell grant,said in,16-10-1996
you got it done,is a,claim
we cannot be the policeman for the world any longer,said in,15-10-1992
i at the urging of the president went to geneva and laid on the table a treaty to ban all chemical weapons,is a,premise
we lost legitimacy in pakistan,said in,26-09-2008
i believe we have to step up our activities and launch an offensive for the minds and hearts and souls of men,said in,07-10-1960
they're holding hostage the middle class tax cut to the super wealthy,said in,11-10-2012
we have found also in our studies,is a,claim
he used undocumented labor to build the trump tower,is a,claim
that's not just going after places where there's abuse,said in,03-10-2012
we created a 10 percent bracket to help lower-income americans,support,you've got more money in your pocket as a result of the tax relief we passed and he opposed
you respect the american people when you tell them the truth,is a,claim
the american people have a right to understand it and to know it,said in,02-10-2008
"i cast the tie-breaking vote to close it, but then the majority in the house of representatives went the other way",is a,claim
"one of the -- we had an acronym, backus, and each one of those b-a-c-k was something for which you -- you had to make them hurt you before you did it",said in,13-10-1992
it's been very strong since i've been president,is a,claim
our country is suffering because people like secretary clinton have made such bad decisions in terms of our jobs and in terms of what's going on,is a,claim
we've increased money for ammunition and weapons and pay and homeland security,is a,claim
"i look back on those years as the beginning of wisdom, learning everything a man can learn about the vulnerabilities and the strengths that are ours as americans",said in,13-10-1992
that we actually see our businesses pay effectively one of the lowest tax rates in the world,said in,26-09-2008
"look at lieberman, and giuliani, and romney, and lingle, and all of us who come from such a diverse background of -- of policy and of partisanship, all coming together at this time, recognizing he is the man that we need to leave -- lead in these next four years, because these are tumultuous times",support,"john mccain's maverick position that he's in, that's really prompt up to and indicated by the supporters that he has"
i have ordered all of my people to have nothing to do with it,is a,claim
that's not a government takeover,support,one of the things that i tried to do was to make sure that everybody in the country who was under a managed care plan should at least have three choices of plans
we continue to grow,said in,25-09-1988
"if we haven't learned from the negotiating history on that, we'll never learn",is a,premise
it was rather a vague statement that they finally made,support,"at the american conference - inter-american conference this summer, when we wanted them to join together in the denunciation of castro and the cuban communists, we couldn't even get the inter-american group to join together in denouncing castro"
energy is critical,said in,03-10-2012
bankruptcies are up,said in,13-10-1992
your own secretary of state has said it,support,there is no connection between the attacks of september 11th and saddam hussein
he’s in the supreme court right now trying to get rid of the affordable care act,said in,29-09-2020
the governors said i did a phenomenal job,said in,29-09-2020
"we uh - now encourage people to waste electricity, and uh - by giving uh - the lowest rates to the biggest users",attack,some of the things that can be done about this is a change in the rate structure of electric power companies
it was a - a tremendous success,is a,claim
wrong choice,attack,this president chose a tax cut over homeland security
they do  n't touch the basic system itself,said in,05-10-2000
the parents are faced with,said in,06-10-1996
"which made the recession of fifty-eight rather intense,",is a,claim
nobody running can promise that,is a,premise
i believe what you need to do is some of what ross is talking about: control the growth of mandatory spending and get taxes down,is a,premise
we're four years closer to a nuclear iran,is a,claim
to call a businessman or woman who sits down and has a chance to express his or her interest in how to make these laws work and call them a polluter is just outrageous,said in,09-10-1996
i think the fate not only of our own civilization,said in,13-10-1960
i did say i hoped it would be a good deal,attack,"then you heard what i said about it, and all of a sudden you were against it"
it was announced that the uh - gnp real growth in the third quarter was at 4 percent,said in,22-10-1976
"and the -- and the law that says deposits that are made in a community, in the inner cities say, should be kept in the community, not entirely, but some percentage of them should be kept there",support,that prevents that money being taken from the community and invested in some go-go investment on the other side of the world
"governor reagan is not responsible for what has happened over the last four years, nor am i",said in,21-09-1980
i'm proud of her,said in,15-10-2008
"ours is a nation of refugees, a nation of immigrants",said in,28-10-1980
dan did not say i support the right of a woman to choose,said in,13-10-1992
you have to see what kind of leadership roles that person has played in his life before that crisis struck him,said in,05-10-1988
"each and every one of us can start thinking about how can we save energy in our homes, in our buildings",is a,premise
now looking to what we ought to do in the future,is a,claim
this is locker room talk,said in,09-10-2016
"instead we had, i think, in the second quarter, a consumer price index registering around 12%",said in,21-09-1980
you showed no recognition of the administration program to try to persuade chiang kai-shek for the last five years to withdraw from the islands,said in,21-10-1960
"when fdr established social security, they didn't call them ious",is a,premise
to re-establish that certitude in our neighborhoods,support,that's why barack obama and i are running
i want everybody to get a great education,is a,claim
"we created partnerships throughout the region to deal with extremism in somalia, in yemen, in pakistan",said in,22-10-2012
"when i was a young man, i volunteered for the army",support,i served my country in vietnam
this is a very important topic and it's a very sensitive topic,support,i think what the next president ought to do is to promote a culture of life in america
the idea he's part of the legislative branch is a bizarre notion invented by cheney to aggrandize the power of a unitary executive,said in,02-10-2008
"we should be bailing them out now, those small businesses",attack,that’s not helping
i suggested that if the united states felt that it could save the summit conference that it would have been proper for us to have expressed regrets,support,in my judgment that statement has been distorted uh - by mr. nixon and others in their debates around the country and in their discussions
people have lost their health care or are going bankrupt,support,"over the last eight years, we've seen that dream diminish"
"making sure that, you know, our veterans are getting the care that they need when it comes to post-traumatic stress disorder and traumatic brain injury",support,making sure that the certifications that they need for good jobs of the future are in place
you didn't tell the american people the truth,is a,claim
i  've supported legislation in the first instance in congress,said in,05-10-2000
"lower deductions and exemptions, the same idea behind bowles-simpson, by the way, get the rates down, lower deductions and exemptions, to create more jobs",said in,03-10-2012
"when you look at what's happening in mexico, a friend of mine who builds plants said it's the eighth wonder of the world",support,"we're losing our good jobs, so many of them"
everybody says it'll create jobs,is a,claim
reduce the capital gains rate,said in,16-10-1996
we've got to make sure that we reduce our deficit,said in,22-10-2012
there was no demonstration involved,is a,claim
if you squander the surplus on a huge tax cut that goes mostly to those at the top,support,you can't make education the top priority
"immediately following the republican convention, there was about a ten-point spread",support,that's not exactly an accurate description of what happened
i'm going to give a new direction to this economy in this country,is a,premise
"everybody who was around then, and had been there, and knew about it knew that it was a failed state",support,i don't think that senator obama understands that there was a failed state in pakistan when musharraf came to power
somebody went to a woman and nearly killed her,is a,claim
"we remember what it was like when we had a spending president and a spending congress, and interest rates",is a,claim
this isn't going to be necessary,is a,claim
we knew we had to act for the middle class,is a,premise
you've got to reassert your ownership in this country,support,you've got to have a government that comes from you again
we've turned it into a weakness,said in,11-10-1992
that's diplomacy,said in,26-09-2016
the president and his experts have told america that it's not a question of if; it's a question of when,is a,claim
i don't believe raising taxes is the way to solve our environmental problems,is a,claim
that conceivably could have prevented that tragedy,said in,11-10-2000
nobody takes responsibility for anything,is a,claim
if you want to get america energy secure,support,this is not the kind of policy you want to have
columbine spoke to a larger issue,is a,claim
that is the continued discussion and claim that somehow i am the villain who is going to pull the social security checks out from those people who are dependent on them,said in,07-10-1984
"hillary clinton is raising your taxes, folks",is a,claim
"as a matter of fact, the year before i went out of office we gave a $50 million refund to the property taxpayers of georgia",said in,22-10-1976
"it's not driven by members of congress, and what they would like to see",is a,claim
this orgy of spending and enormous deficits you voted for almost all of his budgets,is a,premise
it is five times as large geographically,support,it's a different country
we have to work with nigeria,support,we've got to do a lot of work in africa to promote democracy and trade
i personally don't believe that the federal government oughta finance abortions,support,i don't think the government oughta do anything to encourage abortion
the president needed the authority to use force in order to be able to get him to do something,is a,claim
not just passing a tax increase to let the load - or the roof - fall in on the next administration,is a,premise
this risky tax scheme would blow a hole in the deficit,said in,09-10-1996
that's why they were supportive of the approach that we took,support,this is the reason why aarp has said that your plan would weaken medicare substantially
"that’s despite the impeachment hoax and you saw what happened today with hillary clinton, where it was a whole big con job",is a,premise
now ten to twelve billion dollars worth of arms overseas to countries that quite often use these weapons to fight each other,said in,06-10-1976
these are very important values to me,is a,premise
i want to make sure that we are focused on those programs that work,is a,claim
"to recalculate the index that is used to determine the cost of living benefits that are paid to civil service retirees, to military retirees",support,"we ought to pay those retirement benefits on the basis of once a year, rather than twice a year"
"to invest in the human mind and science again, so we're out front",said in,21-10-1984
i believe reasonable people can come together and put good law in place that will help reduce the number of abortions,said in,13-10-2004
"when it comes to community colleges, we are setting up programs, including with nassau community college, to retrain workers",said in,16-10-2012
we never would have got there,said in,11-10-1992
we have enough problems in this country,said in,09-10-2016
you’re certainly going to socialist,said in,29-09-2020
we will reduce the cost of a barrel of oil,said in,15-10-2008
take a look at the democratic convention take a look at it,is a,premise
the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out,said in,29-09-2020
we are helping,said in,11-10-1992
i hope the fda took its time to make sure that american women will be safe who use this drug,is a,premise
that would have forced a lot of seniors into managed care and taken a lot more money out of their pockets and led to medicare withering on the vine,is a,claim
"what troubles me is that when i talk of the voluntary sector and a thousand points of light and a thousand different ways to help on these problems, the man has just said he doesn't understand what i'm talking about",is a,claim
sometimes it has not,is a,claim
i said in my acceptance speech in san diego about two months ago that the exits are clearly marked,is a,claim
we've trained them,support,that's the afghan responsibility
we now have such uh - a low utilization of uh - our productive capacity - uh about 73 percent,is a,premise
we made dramatic progress,is a,premise
it's expressed itself in the desire of the people of africa to be independent of western europe,is a,claim
we haven't been lately,attack,"we ought to be a beacon for nations who search for peace and who search for freedom, who search for individual liberty, who search for basic human rights"
"if it did keep pace with health care costs, there would be no savings",support,that's why they go the voucher
he does not believe it,said in,06-10-1996
"while i was governor of california, our spending in california increased less per capita than the spending in georgia while mr. carter was governor of georgia in the same four years",is a,claim
"i'll do it by more drilling, more permits and licenses",said in,16-10-2012
"two days ago in the oval office, i met with the finance minister from iraq",is a,claim
where a year ago it looked like there was a very great possibility that the uh - communists would take over in portugal. it didn't happen,said in,06-10-1976
the surest way to protect marriage between a man and woman is to amend the constitution,is a,claim
we just have a different set of convictions about how you make america safe,is a,claim
the taxpayers should not,said in,19-10-1992
i supported him on nafta and gatt,said in,06-10-1996
all the president needs to sustain his veto of any bill is one-third plus one in either the house or the senate,said in,26-09-1960
number is to grow the economy,said in,03-10-2012
i happen to believe that the federal government has usurped powers of autonomy and authority that belong back at the state and local level,said in,28-10-1980
"if we had asked pakistan permission, we would not have gotten him",is a,claim
the consumers pay for products and im- and imposing upon the farmers uh - controls on acreage even far more than they have today,is a,claim
senator gore's mentor had disagree with some of the scientific data that is in his book,is a,premise
"it's a question between trust and fear, and i would say",attack,all you've got going in this campaign is fear
it isn't a question of the number of people who are working in an administration,attack,less than a hundred people have been working throughout the entire federal government on this subject
we've had a uh - higher tax load from the treasury for the farmer in the last few years with the lowest farm income in many years,is a,claim
we have a good relationship,equivalent,we have a different kind of a relationship
i voted for small-business tax cuts,support,i have supported or voted for tax cuts over 600 times
their actions in georgia were unacceptable,is a,claim
in the last eight years drilling for gas on federal lands has gone up 60%,is a,claim
"according to the statistics that we have -- that is, the perot group -- the chances of her seeing a doubling of the standard of living are nil",support,her children will be dead before another -- this standard of living is doubled
americans' workers are the best in the world,said in,07-10-2008
i believe we've got the results to show we're on the right track,support,i believe we've got the right ideas for the future
we ought to have rural enterprise zones,is a,claim
why should an american company have to spend 15 to 20 times on product liability and insurance costs compared to a company in japan or a company in germany or somewhere else,support,that's not right
drug use doubled,said in,06-10-1996
i don't,support,the essence of the plan is that you would turn medicare into a voucher program
no quotas,support,don't give up on making an extra effort until you're sure everybody has a chance to prove they're qualified
"in addition, we're now able to transition out of afghanistan in a responsible way, making sure that afghans take responsibility for their own security",is a,premise
we have to know what our values are and who we're fighting for and what our priorities are,is a,premise
you can't be for school choice,is a,premise
we shut the loophole which has american workers actually subsidizing the loss of their own job,is a,claim
